job_male,job_female,similarity,img_similarity,text_similarity,job_male_ratio,job_female_ratio,job_male_label,job_female_label,job_male_1_class,job_male_2_class,job_male_3_class,job_female_1_class,job_female_2_class,job_female_3_class
Sales manager,Human resources manager,0.9440353460972017,0.9921875,0.91845703125,33.1,76.5,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Sales manager,Marketing specialist,0.9433612497160735,0.984375,0.92626953125,33.1,61.7,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations
Training and development manager,Marketing manager,0.943249510913767,0.98876953125,0.92138671875,48.0,62.4,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Training and development manager,Administrative services manager,0.9423922361682018,0.97314453125,0.9375,48.0,74.0,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Project management specialist,Administrative services manager,0.942027711222972,0.974609375,0.935546875,47.3,74.0,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Purchasing manager,Financial manager,0.9407106587826699,0.98779296875,0.919921875,47.7,56.2,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Management analyst,Financial manager,0.9400365624015417,0.97998046875,0.927734375,46.6,56.2,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Sales manager,Financial manager,0.93755449556342,0.9853515625,0.91943359375,33.1,56.2,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Training and development manager,Human resources manager,0.9369097077206017,0.9892578125,0.91455078125,48.0,76.5,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Project management specialist,Public relations manager,0.9313264311725613,0.9814453125,0.91748046875,47.3,66.4,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Management analyst,Operations research analyst,0.9291924032268701,0.96240234375,0.93603515625,46.6,55.0,"Management, business, and financial operations occupations",Professional and related occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations
Management analyst,Public relations manager,0.9291246272320284,0.984375,0.912109375,46.6,66.4,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Purchasing manager,Human resources manager,0.9276940042057753,0.98486328125,0.91015625,47.7,76.5,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Training and development manager,Public relations manager,0.9258567252104719,0.986328125,0.90673828125,48.0,66.4,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Purchasing manager,Marketing manager,0.9252375823386748,0.9677734375,0.92626953125,47.7,62.4,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Project management specialist,Human resources manager,0.9246917108126524,0.978515625,0.9140625,47.3,76.5,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Purchasing manager,Public relations manager,0.9238087910960661,0.9853515625,0.90576171875,47.7,66.4,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Management analyst,Human resources manager,0.92370987477927,0.978515625,0.9130859375,46.6,76.5,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Architectural and engineering manager,Marketing manager,0.9225448603814507,0.970703125,0.92041015625,12.8,62.4,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Financial and investment analyst,Financial manager,0.9224752526029645,0.9755859375,0.9150390625,43.9,56.2,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Project management specialist,Human resources worker,0.9220832509030694,0.982421875,0.9072265625,47.3,76.5,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations
Facilities manager,Human resources manager,0.9206379736076613,0.97705078125,0.91162109375,23.4,76.5,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Architectural and engineering manager,Training and development specialist,0.9200060082503535,0.9697265625,0.9189453125,12.8,56.7,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations
Training and development manager,Marketing specialist,0.919390528945845,0.9853515625,0.9013671875,48.0,61.7,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations
Architectural and engineering manager,Administrative services manager,0.9193593886238909,0.95654296875,0.9326171875,12.8,74.0,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Architectural and engineering manager,Human resources manager,0.9177199422621796,0.9716796875,0.91455078125,12.8,76.5,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Management analyst,Human resources worker,0.916430366576543,0.9794921875,0.90478515625,46.6,76.5,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations
Training and development manager,Human resources worker,0.9157855787337246,0.9833984375,0.89990234375,48.0,76.5,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations
Project management specialist,Operations research analyst,0.9131038474783666,0.9580078125,0.9248046875,47.3,55.0,"Management, business, and financial operations occupations",Professional and related occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations
Project management specialist,Financial manager,0.9115486631642964,0.97412109375,0.90576171875,47.3,56.2,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Sales manager,Human resources worker,0.9108763985668125,0.9833984375,0.89501953125,33.1,76.5,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations
Facilities manager,Marketing manager,0.9091765033448369,0.9580078125,0.9208984375,23.4,62.4,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Facilities manager,Administrative services manager,0.9080701060236374,0.9736328125,0.90283203125,23.4,74.0,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Sales manager,Administrative services manager,0.907271448354692,0.9814453125,0.8935546875,33.1,74.0,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Management analyst,Administrative services manager,0.9067658760688457,0.9755859375,0.8994140625,46.6,74.0,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Purchasing manager,Human resources worker,0.9035822360949304,0.978515625,0.89306640625,47.7,76.5,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations
Management analyst,Training and development specialist,0.9032451879043663,0.974609375,0.89697265625,46.6,56.7,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations
Architectural and engineering manager,Public relations manager,0.9031462715875702,0.9677734375,0.904296875,12.8,66.4,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Financial and investment analyst,Training and development specialist,0.9027249613493651,0.962890625,0.9091796875,43.9,56.7,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations
Facilities manager,Public relations manager,0.9026132225470586,0.96728515625,0.904296875,23.4,66.4,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Sales manager,Training and development specialist,0.901843873416423,0.98681640625,0.88232421875,33.1,56.7,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations
Financial and investment analyst,Administrative services manager,0.90156177873519,0.97216796875,0.89794921875,43.9,74.0,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Architectural and engineering manager,Financial manager,0.9010983374731644,0.966796875,0.9033203125,12.8,56.2,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Purchasing manager,Marketing specialist,0.9007759435517553,0.96875,0.90087890625,47.7,61.7,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations
Training and development manager,Financial manager,0.9006367279947831,0.978515625,0.89013671875,48.0,56.2,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Sales manager,Advertising sales agent,0.8999058463206794,0.96435546875,0.90478515625,33.1,52.7,"Management, business, and financial operations occupations",Sales and office occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,Sales and office occupations,Sales and related occupations,-
Management analyst,Accountant,0.8983927930304296,0.98095703125,0.88525390625,46.6,57.0,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations
Industrial production manager,Human resources manager,0.897984305277735,0.96484375,0.90234375,19.1,76.5,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Facilities manager,Social and community service manager,0.8966800753229435,0.966796875,0.89892578125,23.4,71.7,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Purchasing manager,Administrative services manager,0.8950974142542076,0.98828125,0.8740234375,47.7,74.0,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Industrial production manager,Financial manager,0.8950809282014083,0.96533203125,0.89892578125,19.1,56.2,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Operation manager,Financial manager,0.8931172561346434,0.96533203125,0.89697265625,37.1,56.2,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Industrial production manager,Human resources worker,0.8928919467463858,0.95703125,0.90576171875,19.1,76.5,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations
Sales manager,Insurance sales agent,0.8912799771393402,0.966796875,0.8935546875,33.1,54.9,"Management, business, and financial operations occupations",Sales and office occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,Sales and office occupations,Sales and related occupations,-
Architectural and engineering manager,Marketing specialist,0.890942928948776,0.962890625,0.8974609375,12.8,61.7,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations
Postsecondary teacher,Secondary school teacher,0.8903970574227537,0.9736328125,0.88525390625,46.6,56.9,Professional and related occupations,Professional and related occupations,"Management, professional, and related occupations",Professional and related occupations,"Education, training, and library occupations","Management, professional, and related occupations",Professional and related occupations,"Education, training, and library occupations"
Facilities manager,Human resources worker,0.8895544369463434,0.9638671875,0.89501953125,23.4,76.5,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations
Software developer,Marketing specialist,0.8894005671202163,0.9677734375,0.890625,20.2,61.7,Professional and related occupations,"Management, business, and financial operations occupations","Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations
Industrial production manager,Marketing manager,0.8892869965342654,0.955078125,0.904296875,19.1,62.4,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Facilities manager,Training and development specialist,0.889008565420321,0.974609375,0.8828125,23.4,56.7,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations
Software developer,Operations research analyst,0.8888253870558841,0.966796875,0.89111328125,20.2,55.0,Professional and related occupations,Professional and related occupations,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations
Web and digital interface designer,Marketing specialist,0.886216927146301,0.970703125,0.88427734375,42.7,61.7,Professional and related occupations,"Management, business, and financial operations occupations","Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations
Information security analyst,Administrative services manager,0.8853156895932708,0.9375,0.91943359375,19.3,74.0,Professional and related occupations,"Management, business, and financial operations occupations","Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Industrial production manager,Operations research analyst,0.8839290293744826,0.95556640625,0.8984375,19.1,55.0,"Management, business, and financial operations occupations",Professional and related occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Management, professional, and related occupations",Professional and related occupations,Computer and mathematical occupations
Facilities manager,Financial manager,0.8837476827936899,0.96484375,0.88818359375,23.4,56.2,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Financial and investment analyst,Marketing manager,0.8836066354530734,0.95751953125,0.89599609375,43.9,62.4,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Industrial production manager,Public relations manager,0.8835370276745873,0.96240234375,0.890625,19.1,66.4,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Project management specialist,Public relations specialist,0.8834509338433019,0.9443359375,0.91015625,47.3,76.2,"Management, business, and financial operations occupations",Professional and related occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,"Management, professional, and related occupations",Professional and related occupations,"Arts, design, entertainment, sports, and media occupations"
Industrial production manager,Administrative services manager,0.8830039786340755,0.9619140625,0.890625,19.1,74.0,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Facilities manager,Marketing specialist,0.8827511924911524,0.958984375,0.8935546875,23.4,61.7,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations
Financial and investment analyst,Marketing specialist,0.8827511924911524,0.958984375,0.8935546875,43.9,61.7,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations
First-line supervisor of non-retail sales workers,First-line supervisor of office and administrative support workers,0.8818389642362561,0.9541015625,0.89794921875,35.9,65.8,Sales and office occupations,Sales and office occupations,Sales and office occupations,Sales and related occupations,-,Sales and office occupations,Office and administrative support occupations,-
Operation manager,Marketing manager,0.8811648678551279,0.9462890625,0.90576171875,37.1,62.4,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Industrial production manager,Training and development specialist,0.8809706987888246,0.966796875,0.88330078125,19.1,56.7,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations
Purchasing manager,Accountant,0.8806922676748804,0.986328125,0.86181640625,47.7,57.0,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations
Financial and investment analyst,Insurance underwriter,0.8804101729936473,0.9716796875,0.87744140625,43.9,56.9,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations
Financial and investment analyst,Public relations manager,0.8790638120150354,0.97314453125,0.87451171875,43.9,66.4,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Chemical engineer,Medical scientist,0.8770140461169851,0.955078125,0.89208984375,21.6,51.8,Professional and related occupations,Professional and related occupations,"Management, professional, and related occupations",Professional and related occupations,Architecture and engineering occupations,"Management, professional, and related occupations",Professional and related occupations,"Life, physical, and social science occupations"
Operation manager,Human resources manager,0.8761311264003986,0.9619140625,0.8837890625,37.1,76.5,"Management, business, and financial operations occupations","Management, business, and financial operations occupations","Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
